# ws,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9 # first row is center of energy bin
6.246876561719140186e-01,2.327546924207856693e-01,1.363665993117999095e-04,1.572146816102666108e-10,3.500319630649332541e-19,1.504478156745700682e-30,1.248315331779144105e-44,1.999506820093011093e-61,6.182749359112157616e-81,3.690630431261914504e-103,4.252845853124146898e-128
6.496751624187905305e-01,2.447733982956508958e-01,1.554823710556021239e-04,1.938315762627479468e-10,4.666085879081866500e-19,2.168419197361744650e-30,1.945333037159485198e-44,3.369029764750066423e-61,1.126356577374273094e-80,7.269543121154742229e-103,9.057294738570625371e-128
6.746626686656670424e-01,2.572664202910014963e-01,1.771100871451943438e-04,2.387441617550757557e-10,6.214040441132616668e-19,3.122316390305967573e-30,3.028586124732767137e-44,5.671045269819017709e-61,2.049965092987119221e-80,1.430506988172795141e-102,1.927053036661910304e-127
6.996501749125437764e-01,2.702279634715191725e-01,2.015538198448490320e-04,2.937768787494736759e-10,8.267453089029363365e-19,4.491453238238034724e-30,4.710447875419992363e-44,9.536690499152551379e-61,3.727291341508306404e-80,2.812219132112833069e-102,4.096048992709247444e-127
7.246376811594202882e-01,2.836510181341138082e-01,2.291510618573903057e-04,3.611428055335206287e-10,1.098868479043995134e-18,6.454656932460824158e-30,7.319152304549589174e-44,1.602169908894468091e-60,6.770434222264535263e-80,5.523122062971525170e-102,8.697870268009224691e-127
7.496251874062968001e-01,2.975272901245074597e-01,2.602759235740912530e-04,4.435236195537869113e-10,1.459136773737090388e-18,9.266927263559657682e-30,1.136150005030669444e-43,2.689030704847070854e-60,1.228615567359447693e-79,1.083668457230128339e-101,1.845172685122392036e-126
7.746126936531734231e-01,3.118471356107419545e-01,2.953425809939675415e-04,5.441653978884979010e-10,1.935631135063662993e-18,1.329152009782633304e-29,1.761922789900800588e-43,4.508782230485284319e-60,2.227367162255462774e-79,2.124146818859137000e-101,3.910546156383050288e-126
7.996001999000499350e-01,3.265995009162877549e-01,3.348089868872996611e-04,6.669932645037750288e-10,2.565225239619382846e-18,1.904538948044867541e-29,2.729696604166107853e-43,7.552644906864460951e-60,4.034074548146330109e-79,4.159574801425788401e-101,8.279690896085580463e-126
8.245877061469265579e-01,3.417718680035263246e-01,3.791808576085852877e-04,8.167484369105836818e-10,3.396289621183471724e-18,2.726348520473846471e-29,4.224917121434547025e-43,1.263907180782933505e-59,7.299150771628299093e-79,8.137474747388465067e-101,1.751326580518073559e-125
8.495752123938030698e-01,3.573502061820286180e-01,4.290159476643151692e-04,9.991518630521761278e-10,4.492211960526344954e-18,3.898963728877448435e-29,6.532784265821990535e-43,2.113039444148864670e-59,1.319401755698705887e-78,1.590401135774257717e-100,3.700807220518764740e-125
